1.483947024779763,1.077289557862118,0.6641327329009119,0.6205403388964199,-1.285258003359191,-1.625315334018757,-0.7166410451853079,-0.5212765957446809
1.483947024779763,1.488731690146926,1.574594473048845,0.8433340324253286,-1.4667236197389644,-1.625315334018757,-0.7166410451853079,-0.6808510638297873
1.483947024779763,1.1825421963535805,1.1843965844140165,0.5403817613304633,-1.648189236118738,-1.625315334018757,-0.7166410451853079,-0.5212765957446809
1.483947024779763,1.048584292818992,1.1843965844140165,0.5368453534966711,-1.285258003359191,-1.625315334018757,-0.7166410451853079,-0.6276595744680851
1.483947024779763,1.029447449456908,0.9242646586574642,0.5557061952768962,-1.8296548524985115,-1.625315334018757,-0.7166410451853079,-0.574468085106383
1.483947024779763,2.244637002949248,2.4330298280454676,1.6071981245244442,-2.0111204688782847,-1.625315334018757,-0.7166410451853079,-0.6808510638297873
1.483947024779763,2.483847544975299,3.0053200647098826,1.6225225584708771,-2.374051701637832,-1.625315334018757,-0.7166410451853079,-0.7340425531914894
1.483947024779763,2.3498896414407104,2.8752541018316062,1.5730128487977861,-2.555517318017605,-1.625315334018757,-0.7166410451853079,-0.7340425531914894
1.483947024779763,2.4934159666563414,3.135386027588159,1.7062175438706257,-2.0111204688782847,-1.625315334018757,-0.7166410451853079,-0.7340425531914894
1.483947024779763,1.871468557388608,2.2249242874402255,1.028406042393787,-2.555517318017605,-1.625315334018757,-0.7166410451853079,-0.6808510638297873
1.483947024779763,1.8044896056213138,1.7046604359271211,0.6900896929609999,-2.0111204688782847,-1.625315334018757,-0.7166410451853079,-0.6808510638297873
1.483947024779763,1.3930474733365057,1.4445285101705687,0.7443146130791469,-2.736982934397379,-1.625315334018757,-0.7166410451853079,-0.7340425531914894
1.483947024779763,1.9671527741990287,1.1843965844140165,0.9234926099912851,-2.1925860852580583,-1.625315334018757,-0.7166410451853079,-0.6808510638297873
1.483947024779763,2.4934159666563414,3.135386027588159,0.12780084738803976,-2.0111204688782847,-1.625315334018757,-0.7166410451853079,-0.7340425531914894
-0.8640135552955837,-0.7789842482600394,-0.24632900724702114,-0.7138642170545042,-0.1964643050805502,-1.625315334018757,1.769405766430982,-0.2021276595744681
0.30996673474208963,0.034331594628534745,-0.24632900724702114,-0.17043621326176925,-0.01499868870077675,-1.625315334018757,-0.7166410451853079,-0.3085106382978724
